City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,0,9.22,clear sky
200,Shestakovo,RU,56.4915,103.96,34.11,80,100,10.89,overcast clouds
201,Lebu,CL,-37.6167,-73.65,59.76,63,0,7.58,clear sky
202,Dingle,PH,10.9995,122.6711,75.87,89,87,2.48,overcast clouds
203,Clifton,US,40.8584,-74.1638,82.81,48,94,11.99,overcast clouds
204,Saint-Leu,RE,-21.15,55.2833,77.86,82,89,7.2,overcast clouds
205,Batyrevo,RU,55.0675,47.6111,41.86,92,100,15.17,overcast clouds
206,Taltal,CL,-25.4,-70.4833,65.84,69,13,4.92,few clouds
207,Nioro,GM,13.35,-15.75,104.14,9,11,6.02,few clouds
208,Dongsheng,CN,39.8161,109.9776,40.62,28,74,16.28,broken clouds
209,Wonthaggi,AU,-38.6044,145.5913,58.82,73,90,8.43,overcast clouds
210,Port Moresby,PG,-9.4431,147.1797,76.42,94,40,3.44,scattered clouds
211,Bengkulu,ID,-3.8004,102.2655,77.43,87,92,3.78,light rain
212,Karratha,AU,-20.7377,116.8463,86.97,36,59,11.95,broken clouds
213,Georgetown,MY,5.4112,100.3354,84.15,84,20,3.44,few clouds
214,Bac Lieu,VN,9.285,105.7244,82.56,78,19,7.92,few clouds
215,Lebanon,US,36.2081,-86.2911,56.79,69,20,9.22,few clouds
216,Northam,GB,51.0333,-4.2167,62.26,81,100,4.09,overcast clouds
217,Labuhan,ID,-6.8844,112.2051,80.17,76,62,4.94,broken clouds
218,Tautira,PF,-17.7333,-149.15,80.71,76,32,18.37,light rain
219,Acapulco,MX,16.8634,-99.8901,83.35,62,99,4.83,overcast clouds
220,Hilo,US,19.7297,-155.09,70.29,92,75,5.01,light rain
221,Kaeng Khoi,TH,14.5862,100.9976,90.1,46,5,11.18,light rain
222,Dera Bugti,PK,29.0307,69.151,86.29,6,0,4.94,clear sky
223,Banjar,ID,-8.19,114.9675,77.63,87,48,2.26,scattered clouds
224,Emerald,AU,-23.5333,148.1667,69.94,78,1,10.36,clear sky
225,Sao Filipe,CV,14.8961,-24.4956,71.56,75,2,9.33,clear sky
226,Boke,GN,10.9409,-14.2967,102.45,19,82,6.73,broken clouds
227,Husavik,IS,66.0449,-17.3389,43.61,89,100,11.56,overcast clouds
228,Lishui,CN,28.4604,119.9103,60.01,90,99,2.48,overcast clouds
229,Great Yarmouth,GB,52.6083,1.7305,64.08,76,91,5.82,overcast clouds
230,Dikson,RU,73.5069,80.5464,22.78,93,100,7.49,overcast clouds
231,Klaksvik,FO,62.2266,-6.589,45.52,87,100,25.95,overcast clouds
232,Kununurra,AU,-15.7667,128.7333,73.38,94,40,4.61,light rain
233,Rensvik,NO,63.1,7.8167,49.66,46,0,14.97,clear sky
234,Ondjiva,AO,-17.0667,15.7333,78.12,52,81,3.11,broken clouds
235,Carutapera,BR,-1.195,-46.02,84.52,71,97,6.35,overcast clouds
236,Deputatskiy,RU,69.3,139.9,-12.68,100,100,2.3,overcast clouds
237,Solwezi,ZM,-12.1688,26.3894,67.78,84,91,3.13,light rain
238,Rio Grande,BR,-32.035,-52.0986,69.94,46,2,14.12,clear sky
239,Palmares Do Sul,BR,-30.2578,-50.5097,67.41,55,29,18.28,scattered clouds
240,Sur,OM,22.5667,59.5289,89.62,38,100,11.54,overcast clouds
241,Rudnogorsk,RU,57.2639,103.7519,33.75,79,100,12.26,overcast clouds
242,South Farmingdale,US,40.7207,-73.4401,78.15,62,0,8.01,clear sky
243,Chuy,UY,-33.6971,-53.4616,67.96,40,2,13.62,clear sky
244,Pacific Grove,US,36.6177,-121.9166,55.42,68,82,4.0,broken clouds
245,Haines Junction,CA,60.7522,-137.5108,18.9,79,54,2.01,broken clouds
246,Huautla,MX,21.0333,-98.2833,84.24,45,100,5.23,overcast clouds
247,Oxelosund,SE,58.6706,17.1015,43.18,93,75,5.75,light rain
248,Hambantota,LK,6.1241,81.1185,80.94,100,20,3.44,few clouds
249,Ferrol,ES,43.4832,-8.2369,62.37,82,70,4.72,broken clouds
250,Kotelnikovo,RU,47.6317,43.1461,44.87,83,100,14.52,overcast clouds
251,Yeppoon,AU,-23.1333,150.7333,65.98,68,0,14.79,clear sky
252,Coffs Harbour,AU,-30.3,153.1333,62.56,88,100,11.5,overcast clouds
253,Te Anau,NZ,-45.4167,167.7167,46.04,91,84,0.81,light rain
254,Arraial Do Cabo,BR,-22.9661,-42.0278,77.67,82,16,18.41,few clouds
255,Codrington,AU,-38.2667,141.9667,59.52,53,99,7.74,overcast clouds
256,Qaqortoq,GL,60.7167,-46.0333,34.57,86,43,4.09,scattered clouds
257,Alice Springs,AU,-23.7,133.8833,69.22,32,0,4.61,clear sky
258,Manoel Urbano,BR,-8.8389,-69.2597,90.82,52,91,2.73,overcast clouds
259,Kronach,DE,50.2396,11.3331,65.73,66,100,6.64,overcast clouds
260,Qui Nhon,VN,13.7667,109.2333,77.04,91,68,2.3,broken clouds
261,Woodstock,CA,43.1334,-80.7497,50.81,57,75,18.99,broken clouds
262,Vila Do Maio,CV,15.1333,-23.2167,70.75,75,3,13.67,clear sky
263,Pemangkat,ID,1.1667,108.9667,81.19,75,100,1.07,heavy intensity rain
264,Broken Hill,AU,-31.95,141.4333,66.88,39,99,8.39,overcast clouds
265,Bethanien,NA,-26.502,17.1583,78.33,15,24,16.2,few clouds
266,Charters Towers,AU,-20.1,146.2667,71.38,74,99,9.44,overcast clouds
267,Saint-Denis,FR,48.9167,2.3333,72.5,49,0,9.22,clear sky
268,Rehoboth,NA,-23.3167,17.0833,79.63,21,3,18.1,clear sky
269,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.42,79,14,5.08,few clouds
270,Snezhnogorsk,RU,69.1933,33.2531,33.58,85,43,2.28,scattered clouds
271,The Valley,AI,18.217,-63.0578,82.09,74,8,17.72,clear sky
272,Agirish,RU,61.9247,63.0231,41.68,97,100,5.91,overcast clouds
273,Faya,SA,18.3851,42.4509,68.36,37,1,6.24,clear sky
274,Sao Joao Da Barra,BR,-21.6403,-41.0511,83.66,68,18,9.01,few clouds
275,Umba,RU,66.6871,34.3429,32.97,92,94,5.68,overcast clouds
276,Meulaboh,ID,4.1363,96.1285,78.6,86,99,3.96,overcast clouds
277,Bushehr,IR,28.9684,50.8385,84.09,39,100,8.46,overcast clouds
278,Tazovskiy,RU,67.4667,78.7,32.49,98,100,13.6,overcast clouds
279,Katangli,RU,51.7102,143.2326,24.71,97,99,6.87,light snow
280,Qesarya,IL,32.5189,34.9046,65.35,61,0,14.56,clear sky
281,Mogadishu,SO,2.0371,45.3438,83.35,78,79,14.76,broken clouds
282,Nikolskoye,RU,59.7035,30.7861,40.91,98,100,1.57,overcast clouds
283,Richards Bay,ZA,-28.783,32.0377,72.12,80,2,5.26,clear sky
284,Berlevag,NO,70.8578,29.0864,33.6,84,80,15.68,broken clouds
285,Sechura,PE,-5.5569,-80.8222,77.86,58,71,11.77,broken clouds
286,Chisec,GT,15.8167,-90.2833,88.03,60,37,3.11,scattered clouds
287,Sinop,TR,41.7711,34.8709,43.23,91,100,3.11,overcast clouds
288,Dawei,MM,14.0833,98.2,76.6,87,3,1.41,clear sky
289,Abha,SA,18.2164,42.5053,68.16,38,1,4.94,clear sky
290,Longyearbyen,SJ,78.2186,15.6401,22.84,63,75,6.91,broken clouds
291,Half Moon Bay,US,37.4636,-122.4286,55.58,91,100,11.5,mist
292,Cabedelo,BR,-6.9811,-34.8339,83.89,65,91,6.78,overcast clouds
293,Palmer,US,42.1584,-72.3287,69.85,56,99,3.91,overcast clouds
294,Caravelas,BR,-17.7125,-39.2481,89.55,54,9,11.03,clear sky
295,Avera,US,33.194,-82.5271,75.54,68,100,13.91,overcast clouds
296,Katsuura,JP,35.1333,140.3,52.7,90,100,18.61,overcast clouds
297,Ixtapa,MX,20.7,-105.2,84.67,37,97,3.8,overcast clouds
298,Kupang,ID,-10.1667,123.5833,78.58,89,100,5.41,overcast clouds
299,Marzuq,YE,14.4,46.4667,77.18,16,3,11.48,clear sky
300,Betioky,MG,-23.7167,44.3833,80.35,55,92,6.98,overcast clouds
301,Ulaanbaatar,MN,47.9077,106.8832,21.33,79,0,4.47,clear sky
302,Bowen,AU,-20.0167,148.2333,74.03,79,5,14.58,clear sky
303,Turukhansk,RU,65.8167,87.9833,32.9,99,100,8.86,overcast clouds
304,Portland,US,45.5234,-122.6762,41.61,90,98,7.0,overcast clouds
305,Akyab,MM,20.15,92.9,81.86,78,17,6.29,few clouds
306,Opuwo,NA,-18.0607,13.84,82.98,36,21,7.23,few clouds
307,Arona,ES,28.0996,-16.681,66.72,53,20,21.85,few clouds
308,Salalah,OM,17.0151,54.0924,80.67,77,0,6.2,clear sky
309,Okhotsk,RU,59.3833,143.3,9.46,86,13,9.13,few clouds
310,Dalbandin,PK,28.8947,64.4101,84.74,7,0,10.13,clear sky
311,Tulun,RU,54.5611,100.5792,33.55,67,97,4.34,overcast clouds
312,Antsohihy,MG,-14.8796,47.9875,80.44,71,7,4.56,clear sky
313,Wembley,AU,-31.9333,115.8,64.6,76,0,11.5,clear sky
314,Kaeo,NZ,-35.1,173.7833,49.32,93,2,4.7,clear sky
315,Venezuela,VE,8.0,-66.0,94.62,35,65,20.74,broken clouds
316,Leningradskiy,RU,69.3833,178.4167,5.68,96,100,11.5,overcast clouds
317,La Asuncion,VE,11.0333,-63.8628,82.13,78,10,19.57,clear sky
318,Tete,MZ,-16.1564,33.5867,87.89,58,75,5.75,broken clouds
319,Souillac,MU,-20.5167,57.5167,79.18,73,75,14.97,broken clouds
320,Hay River,CA,60.8156,-115.7999,15.96,81,16,3.62,few clouds
321,Kokoda,PG,-8.8785,147.7407,73.92,95,100,0.85,overcast clouds
322,Talnakh,RU,69.4865,88.3972,23.45,89,100,7.23,overcast clouds
323,Raymond,US,43.9015,-70.4703,46.22,90,100,6.24,overcast clouds
324,Flinders,AU,-34.5833,150.8552,65.37,84,35,1.99,scattered clouds
