City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Lumphat,KH,79.52,few clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
517,Bo Rai,TH,78.26,clear sky,12.5728,102.5371,Baiboon Resort
519,Tharad,IN,85.62,clear sky,24.3961,71.6267,Shree Nandan Couriyar Service
520,Camocim,BR,82.9,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
526,Namatanai,PG,79.65,light rain,-3.6667,152.4333,Seagulls Inn Namatani
528,Mantua,IT,75.81,few clouds,45.1667,10.7833,Hotel la Favorita
533,Kroya,ID,79.79,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
536,Aitape,PG,80.71,overcast clouds,-3.1374,142.3475,Macho lodge
540,Mecca,SA,89.06,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
544,Gigmoto,PH,77.5,broken clouds,13.7796,124.39,Cj's Travellers Inn
548,Namibe,AO,78.26,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
555,Piranhas,BR,90.14,clear sky,-16.4269,-51.8222,Planalto Hotel
561,Port-Gentil,GA,82.35,broken clouds,-0.7193,8.7815,Fengshui Residence
563,Kareli,IN,92.37,scattered clouds,22.9167,79.0667,Maa Narmda Hoatal
566,Manokwari,ID,78.85,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
568,Vega De Alatorre,MX,84.27,overcast clouds,20.0333,-96.6333,Hotel D Luxe
571,Bordighera,IT,77.14,broken clouds,43.7806,7.6645,Hotel Villa Elisa & Spa
573,Hobyo,SO,83.5,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
575,Alofi,NU,80.82,light rain,-19.0595,-169.9187,Taloa Heights
576,Mahbubnagar,IN,91.98,overcast clouds,16.7333,77.9833,Maruthi Mess and Fast Foods
580,El Alto,PE,80.26,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
581,Palu,ID,76.59,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
584,Miramar,US,87.03,light rain,25.9873,-80.2323,Stadium Hotel
587,Pilar,BR,85.93,light rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
591,Sao Felix Do Xingu,BR,89.62,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
594,La Troncal,EC,82.29,light rain,-2.4,-79.3333,TRONCAL INN
599,Kinablangan,PH,77.58,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
601,Guaratingueta,BR,77.22,broken clouds,-22.8164,-45.1925,Kafé Hotel
602,Sakakah,SA,77.58,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
603,Marti,CU,88.72,clear sky,22.9475,-80.9203,Hotel Bibanasí
606,Rawatsar,IN,87.22,few clouds,29.2833,74.3833,Honda Service Center
611,Waddan,LY,93.69,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
623,Padang,ID,78.94,moderate rain,-0.9492,100.3543,Mercure Padang
624,Rasulnagar,PK,82.42,overcast clouds,32.3285,73.7814,Aliraza Mehar
625,Alvorada,BR,89.89,broken clouds,-12.48,-49.1247,Cristal Plaza Hotel
626,York,US,79.25,broken clouds,40.1254,-77.0,Rodeway Inn
627,Guarapari,BR,82.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
628,Lakatoro,VU,80.47,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
629,Mayo,US,84.07,clear sky,38.8876,-76.5119,Resorts Resource Group International
630,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
634,Uttaradit,TH,81.37,clear sky,17.6667,100.5,Macho lodge
635,Kitgum,UG,85.12,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
639,Xapuri,BR,85.77,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
641,Yaan,NG,91.06,overcast clouds,7.3833,8.5667,Macho lodge
642,Conceicao Da Barra,BR,90.9,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
649,Sambava,MG,78.51,light rain,-14.2667,50.1667,Melrose
651,Tanabi,BR,81.16,broken clouds,-20.6264,-49.6492,Point Hotel em Tanabi - SP
653,Ilhabela,BR,76.53,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
655,Lavumisa,SZ,75.42,overcast clouds,-27.31,31.892,ROADSIDE B&B
658,Araceli,PH,80.17,scattered clouds,10.5529,119.9913,JBryan Traveler's Inn
661,Puerto Escondido,MX,86.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
662,Adrar,MR,92.17,clear sky,20.5022,-10.0711,Macho lodge
663,Kieta,PG,78.06,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
664,Praya,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
668,Zemio,CF,77.67,light rain,5.0314,25.1361,OCHA Office
